home_SA2,work_SA2,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total
126000,126000,123,9,6,,,,,,,,144
126100,126100,93,6,,,,,,,,,108
126200,126200,177,12,6,,,,,6,,,198
126300,126300,189,27,,,,,,6,,,228
126400,126400,117,9,6,,,,,,,,138
126500,126500,138,9,6,,,,,,,,156
126600,126600,201,66,9,,9,,,63,,,363
126700,126700,102,6,,,,,,,,,117
126800,126800,219,42,,,,,,84,,,357
126900,126900,150,27,9,,,,,,,,192
127000,127000,144,15,6,,,,,6,,,171
127100,127100,75,12,,,,,,21,,,111
127200,127200,33,18,,,,,,12,,,63
127300,127300,123,21,,,,,,9,,,159
127400,127400,240,39,15,,,,,51,,,351
127500,127500,45,18,,,,,,6,,,78
127600,127600,174,6,12,,,,,,,,195
127700,127700,111,,9,,,,,,,,126
127800,127800,42,,,,,,,,,,51
127900,127900,69,6,,,,,,,,,90
128000,128000,96,15,,,,,,,,,117
128100,128100,135,,9,,,,,,,,147
128200,128200,210,21,,,6,,,15,,,261
128300,128300,96,15,,,,,,,,,117
128400,128400,96,9,6,,,,,,,,111
128500,128500,117,15,9,,,,,,,,144
128600,128600,123,12,,,,,,,,,141
128700,128700,,,,,,,,,,,12
128800,128800,240,15,,,,,,6,,,267
128900,128900,111,12,9,,,,,,,,141
129000,129000,39,6,,,,,,,,,51
129100,129100,135,18,9,,,,,,,,171
129200,129200,222,12,,,,,,,,,237
129300,129300,141,12,,,,,,15,,,174
129400,129400,177,12,9,,,,,,,,207
129500,129500,66,21,12,,,,,,,,102
129600,129600,123,,6,,,,,,,,144
129700,129700,258,18,,,,,,6,,,288
129800,129800,171,9,6,,,,,15,,,201
129900,129900,255,36,6,,,,,24,,,327
130000,130000,183,18,15,,,,,,,,213
130100,130100,117,9,,,,,,,,,138
130200,130200,207,6,,,,,,15,,,237
130300,130300,219,12,,,,,,9,,,246
130400,130400,186,9,6,,,,,12,,,219
130500,130500,72,12,,,,,,,,,90
130600,130600,132,12,,,,,,,,,150
130700,130700,288,27,6,,,,,9,,,339
130800,130800,51,6,,,,,,,,,66
130900,130900,138,15,,,,,,,,,165
131000,131000,48,15,,,,,,15,,,84
131100,131100,126,15,,,,,,,,,150
131200,131200,285,24,,,,,,42,,,363
131300,131300,108,6,,,,,,57,,,186
131400,131400,270,39,6,6,,,12,93,,15,441
131500,131500,129,30,,,,,,12,,,180
131600,131600,225,12,,,,,,24,,,270
131700,131700,66,,9,,,,,,,,81
131800,131800,345,33,,,,,,75,,,462
131900,131900,120,9,,,,,,12,,,153
132000,132000,150,18,,,,,,,,,180
132100,132100,210,,,,6,,,15,,,240
132200,132200,183,21,9,,,,,9,,,225
132300,132300,81,,,,,,,,,,84
132400,132400,57,9,,,,,,69,,,138
132500,132500,189,9,9,,,,,,,,213
132600,132600,63,12,6,,,,,,,,90
132700,132700,78,,,,6,,,117,,,213
132800,132800,249,9,,,,,,6,,,276
132900,132900,108,12,,,,,,,,,129
133000,133000,276,51,9,6,,,9,81,6,,447
133100,133100,102,15,,,,,,6,,,138
133200,133200,114,15,,,9,,,102,,,246
133300,133300,111,9,,,,,,129,,,261
133400,133400,66,,,,,,,36,,,108
133500,133500,123,9,,,,,,48,,,186
133600,133600,225,27,6,,,,,33,,,297
133700,133700,108,,,,6,,,69,,,192
133800,133800,69,,,,,,,21,,,96
133900,133900,18,6,,,,,,18,,,51
134000,134000,162,9,,,,,,6,,,180
134100,134100,60,,,,,,,30,,,93
134200,134200,192,33,6,,,,,45,,,282
134300,134300,144,9,,,,,,45,,,204
134400,134400,171,18,,,,,,21,,,222
134500,134500,117,6,,,,,,39,,,171
134600,134600,186,24,9,,,,,6,,,225
134700,134700,156,18,9,,,,,6,,,189
134800,134800,,,,,,,,,,,6
134900,134900,90,9,9,,,,,,,,111
135000,135000,141,18,6,,,,,9,,,180
135100,135100,87,,,,,,,51,,,141
135200,135200,138,9,,,,,,15,,,171
135300,135300,75,,,,,,,45,,,126
135400,135400,162,6,9,,,,,,,,183
135500,135500,87,,6,,,,,12,,,111
135600,135600,69,9,,,,,,12,,,87
135700,135700,75,,,,,,,,,,78
135800,135800,84,12,,,,,,33,,,135
135900,135900,78,,,,,,,21,,,102
136000,136000,198,33,12,,,,,123,,,378
136100,136100,72,6,,,,,,90,,,171
136200,136200,93,6,,,,,,,,,105
136300,136300,171,9,,,,,,9,,,198
